"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SPRED1",8.77168938980703e-43,-1.09722161395825,0.134,0.275,2.25537677590718e-38
"IQGAP2",9.02606640246463e-43,1.18754241385148,0.424,0.263,2.32078219340171e-38
"APOM",1.485974825477e-42,2.17712038513126,0.282,0.128,3.82073847126646e-38
"SCAND1",1.89692132549675e-42,-0.595170487205416,0.456,0.635,4.87736411211724e-38
"SRSF9",2.40847087513512e-42,-0.571809871219077,0.458,0.65,6.19266031414743e-38
"RPL39",2.43304943400022e-42,-0.255761204111571,0.999,1,6.25585670470137e-38
"CCL13",3.11845411617991e-42,-1.41248954458001,0.091,0.21,8.01816922352178e-38
"LRRFIP1",3.57337244810792e-42,-0.525231018341359,0.579,0.747,9.18785523857509e-38
"FAM129B",4.23757849295408e-42,-1.52941563551532,0.033,0.113,1.08956618210835e-37
"ADAMTSL4",4.46968353258471e-42,-1.39020206620435,0.052,0.149,1.14924502989818e-37
"CARD19",6.42539378435416e-42,-0.78740170405938,0.207,0.372,1.65209724983314e-37
"BCL11A",8.3639095546794e-42,-1.54378111470601,0.044,0.134,2.15052842469917e-37
"DUSP1",1.03243802805509e-41,0.574586094251836,0.922,0.924,2.65460465773524e-37
"SAV1",1.1237172625112e-41,-1.19441837072787,0.097,0.221,2.88930182536879e-37
"SLC7A5",1.14344746937341e-41,-1.02893538697682,0.11,0.242,2.9400321332529e-37
"ADH4",1.4129461585422e-41,8.6658185974767,0.112,0,3.63296716284371e-37
"ADH1A",1.47370377997703e-41,6.53905892796628,0.116,0.002,3.78918715907693e-37
"PPP1R15B",1.71722040800061e-41,-0.828784391116536,0.251,0.423,4.41531711305116e-37
"ALYREF",1.91848208624129e-41,-1.39270815490724,0.051,0.146,4.93280114014359e-37
"LSM6",2.22548677637361e-41,-0.630131131201695,0.355,0.539,5.72217159941183e-37
"IL23A",2.46599275135097e-41,-1.30627715071297,0.04,0.127,6.34056056227362e-37
"RPS17",2.70656882385376e-41,-0.340003392076021,0.984,0.988,6.95912975989279e-37
"ADAM8",4.39304074794901e-41,-0.797042968536963,0.121,0.258,1.12953863711265e-36
"ATF7IP2",5.18517010258014e-41,-1.26878920414992,0.132,0.271,1.3332109367754e-36
"NFKBIA",5.33406910444638e-41,-0.378240351932329,0.926,0.971,1.37149584813525e-36
"SRGAP1",6.59214839752005e-41,2.37240090901863,0.19,0.05,1.69497319597036e-36
"TYROBP",6.65917479544331e-41,0.264509624190949,0.989,0.989,1.71220702340438e-36
"DEFB1",7.16445908908999e-41,-0.994076454053888,0.114,0.244,1.84212572098682e-36
"RGCC",1.02768736460046e-40,-0.78298165824163,0.487,0.662,2.64238975186071e-36
"LSM7",1.04003616158127e-40,-0.582386530949708,0.48,0.66,2.67414097865775e-36
"SERP1",1.06432734299305e-40,-0.427929541403819,0.739,0.88,2.73659846430373e-36
"PIM3",1.19503942328056e-40,-0.589382271392769,0.417,0.606,3.07268536513897e-36
"RHEB",1.47518322380095e-40,-0.475028102852431,0.587,0.76,3.79299110503701e-36
"CLIC4",1.9533108765431e-40,-0.779120704835068,0.193,0.352,5.02235292576762e-36
"TIMM8B",2.38271208497763e-40,-0.51863892424234,0.49,0.675,6.12642931289449e-36
"ZBTB16",3.41106785756792e-40,4.82750649586874,0.121,0.007,8.77053767537865e-36
"N4BP1",4.72274225852748e-40,-1.15149422215975,0.092,0.209,1.21431148951259e-35
"SNHG25",5.72265405060868e-40,-0.672898158661412,0.303,0.486,1.4714088094925e-35
"TMEM167A",6.95049416735695e-40,-0.498160703066431,0.516,0.695,1.78711106031082e-35
"CD274",7.03585282151931e-40,-1.84646173282294,0.034,0.113,1.80905847746904e-35
"RGS1",9.22510321052754e-40,0.817897199900424,0.772,0.687,2.37195853749084e-35
"AKR1C4",1.04120418246526e-39,5.34374881666896,0.114,0.003,2.67714419395468e-35
"ZBTB43",1.19138448444236e-39,-0.767842025318932,0.145,0.289,3.0632877863982e-35
"UBP1",2.23380685076342e-39,-1.09879238798689,0.091,0.209,5.74356417468291e-35
"BTG3",3.38585056588143e-39,-0.86342167490266,0.181,0.333,8.70569897499433e-35
"ORM2",3.87256347960443e-39,2.12214839790325,0.229,0.085,9.9571352187589e-35
"KIF5B",3.95791896816553e-39,-0.636378026993843,0.408,0.587,1.01766012509472e-34
"MINOS1",4.22731662580108e-39,-0.453419737974805,0.708,0.839,1.08692765082597e-34
"UGT2B4",4.26097273018624e-39,3.61264937509135,0.133,0.016,1.09558130838549e-34
"CD55",4.49453889145683e-39,-0.789613918783704,0.313,0.482,1.15563583977138e-34
"SRSF2",6.26004842555784e-39,-0.501038973043846,0.555,0.72,1.60958365117943e-34
"BCL6",6.36460699263065e-39,-1.21089392767872,0.084,0.195,1.63646774994519e-34
"ITSN1",6.50250443961366e-39,1.78784429697761,0.219,0.074,1.67192394151347e-34
"CD9",6.57764945474834e-39,1.09674576978276,0.572,0.426,1.69124522780489e-34
"PVRL2",7.00887163577511e-39,-0.747476920745664,0.24,0.406,1.8021210749905e-34
"TRABD",7.47617761400487e-39,-0.920393864963632,0.153,0.296,1.92227478811293e-34
"SERPING1",8.11923628629398e-39,0.832752872201898,0.556,0.409,2.08761803393191e-34
"MIR4435-2HG",9.46894880740797e-39,-0.764969045742845,0.246,0.417,2.43465611736074e-34
"RPS18",9.53707745366214e-39,-0.263851698319302,0.999,1,2.45217335488561e-34
"NPC1",1.01570356509309e-38,-1.1821577758267,0.075,0.182,2.61157700656735e-34
"CHCHD6",1.1228660355862e-38,2.18035905671493,0.231,0.088,2.88711315069923e-34
"ENG",1.1464708936656e-38,-0.884766294651506,0.184,0.335,2.947805961793e-34
"SPCS3",1.19387415984767e-38,-0.630382658402632,0.44,0.619,3.06968923980032e-34
"SERPINH1",1.25782800297492e-38,-0.916788322850538,0.222,0.375,3.2341273612491e-34
"SH3BGRL3",1.37229257448896e-38,-0.266260685906002,0.976,0.994,3.52843866752603e-34
"MRPL52",1.48247386670446e-38,-0.508464647592399,0.473,0.655,3.8117368060705e-34
"ZFAND2A",2.39577087633796e-38,-0.307435210726091,0.49,0.677,6.16000607724015e-34
"CBX3",3.45412570058006e-38,-0.565269999227227,0.507,0.675,8.88124800133145e-34
"RPL10A",3.4718721245684e-38,-0.277694755454281,0.963,0.978,8.92687760669027e-34
"TSPAN4",3.85129650864353e-38,0.934569274649242,0.521,0.386,9.90245358302426e-34
"GNB1",3.96162204191003e-38,-0.628738379510329,0.337,0.515,1.01861225941591e-33
"ZEB2",4.15086337097843e-38,-0.624527657911682,0.498,0.653,1.06726998994597e-33
"HLA-DMB",4.56092555914401e-38,0.638471672423126,0.737,0.646,1.17270517976711e-33
"LAGE3",5.06352035684604e-38,-0.670400822983405,0.286,0.454,1.30193235415225e-33
"MS4A6A",6.04379028542394e-38,0.555905965349635,0.846,0.785,1.5539793581882e-33
"BAMBI",7.0959516021989e-38,-1.52687498471029,0.04,0.122,1.82451107595738e-33
"ARG1",8.7421260909026e-38,5.84379520406017,0.107,0.003,2.24777546049288e-33
"F12",9.43899526774241e-38,3.68397241061807,0.126,0.014,2.42695446324193e-33
"CPB2",1.13341636622329e-37,5.43283371336691,0.109,0.004,2.91424016083333e-33
"CLIC1",1.32803458773021e-37,-0.325119674534801,0.887,0.946,3.41464253197191e-33
"ENY2",1.44726318683791e-37,-0.391536683385233,0.671,0.827,3.72120310599762e-33
"H2AFZ",2.60240312483083e-37,-0.567099381326368,0.764,0.866,6.69129891456504e-33
"CKAP4",2.61236328297919e-37,-1.24163512386691,0.049,0.138,6.71690847319609e-33
"PER1",3.22386909741547e-37,1.3943090317008,0.327,0.176,8.28921222327466e-33
"SHMT1",3.58576325007581e-37,2.93427023426506,0.151,0.03,9.21971446859491e-33
"SPN",4.03401998794577e-37,-1.06572640114842,0.09,0.202,1.03722721930062e-32
"DENND4A",5.05443547720617e-37,-0.968146114373903,0.116,0.24,1.29959644989925e-32
"OTUD1",5.24175645779787e-37,-0.79937569723625,0.196,0.349,1.34776042042899e-32
"GPX1",5.46505288669545e-37,0.366846851208919,0.98,0.991,1.40517439822713e-32
"SLA",5.71639277519326e-37,1.13904400761478,0.424,0.275,1.46979891035769e-32
