"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRAM1",0.266108275274576,0.36500111300565,0.299,0.3,1
"DOCK8",0.266936057240032,0.523299959711788,0.191,0.178,1
"TC2N",0.270412174357635,0.587581279396857,0.145,0.131,1
"ASF1A",0.274586012112946,0.625305229012049,0.148,0.134,1
"SNW1",0.275276880267032,0.695242758452222,0.21,0.208,1
"GCC2",0.278103076418119,0.567099503301418,0.287,0.294,1
"CNOT4",0.280810318607328,0.793951519378038,0.109,0.095,1
"RORA",0.280990983139612,0.35345858516274,0.424,0.442,1
"WIPF1",0.281849510228114,0.330348688644601,0.416,0.448,1
"LYAR",0.28473137263554,0.684419398654798,0.224,0.223,1
"MAST4",0.285317963192484,0.418080002375289,0.113,0.139,1
"RNF114",0.285985089080254,0.297625209160875,0.223,0.273,1
"ZMYM2",0.286541780704452,0.37421985768585,0.118,0.145,1
"PCNP",0.287420444195644,0.406196283519082,0.34,0.35,1
"MAPRE2",0.287619001943069,0.623313020932946,0.131,0.116,1
"GIMAP2",0.289491741314396,0.550254517907468,0.124,0.11,1
"FBXL3",0.290266412991561,0.677748147103328,0.1,0.086,1
"JUNB",0.290528581957444,0.45994189533945,0.735,0.896,1
"ZCCHC11",0.291380690316511,0.548170417207564,0.125,0.11,1
"UTP11L",0.293489598173132,0.33713736694793,0.116,0.142,1
"LAIR2",0.296019514840781,0.353324945019675,0.157,0.139,1
"BZW1",0.296880167735776,0.365371786041797,0.453,0.501,1
"LDLRAD4",0.298196758709348,0.45206518324242,0.125,0.151,1
"CD58",0.300856161712239,0.316358296238996,0.174,0.211,1
"OSBPL8",0.303136064415677,0.450251043841688,0.156,0.142,1
"NSFL1C",0.305379717463617,0.268498851040758,0.102,0.125,1
"PPP3CC",0.306680847839289,0.473264302277126,0.122,0.107,1
"PLK3",0.308271417874013,0.268778409483513,0.259,0.32,1
"SDHB",0.310774906178968,0.260588385909122,0.153,0.184,1
"PPP1R2",0.314940970196914,0.313778044446908,0.552,0.602,1
"BHLHE40",0.316569202115407,0.361931807386594,0.205,0.193,1
"TEX264",0.321176445405805,0.615228702815972,0.164,0.154,1
"SIKE1",0.321558295336334,0.265180234922177,0.105,0.128,1
"C1QA",0.323374285414368,0.380780658407847,0.294,0.294,1
"LAMP2",0.326541331332911,0.260499819688531,0.136,0.163,1
"CCDC47",0.327703785373833,0.791807713240895,0.116,0.104,1
"CHURC1",0.327851001551553,0.437658332852804,0.324,0.338,1
"DDA1",0.327936226631358,0.287169066508659,0.1,0.122,1
"ATF1",0.328004579653633,0.341650248660041,0.087,0.107,1
"ASAH1",0.328961155476506,0.572085431949299,0.158,0.145,1
"STAU1",0.332994994374302,0.509913591704792,0.184,0.172,1
"HPCAL1",0.338111832131786,0.526648196981803,0.139,0.128,1
"PSMA3-AS1",0.339665472031118,0.535401019235133,0.208,0.202,1
"TMEM87A",0.339987070544634,0.692890049041471,0.121,0.11,1
"SRRT",0.341453685123723,0.40367556876106,0.11,0.134,1
"P4HA1",0.343877148865277,0.393184958182258,0.113,0.136,1
"FUS",0.344306948237957,0.323839438397559,0.46,0.501,1
"GZMM",0.346177935800548,0.489151750794053,0.252,0.252,1
"NCK1",0.347678556101031,0.491893195650523,0.173,0.163,1
"TLN1",0.348119479783865,0.481225972726348,0.184,0.175,1
"BNIP3L",0.351838121006562,0.675885776127803,0.172,0.166,1
"GNL2",0.35202227684444,0.376654149525643,0.09,0.11,1
"TMEM243",0.362713203357742,0.514181650145731,0.206,0.199,1
"MAT2B",0.36516185260765,0.49640477247522,0.208,0.202,1
"RASGEF1B",0.366653106085478,0.721976242237999,0.109,0.098,1
"MZB1",0.367621371357109,1.31208894496084,0.082,0.101,1
"DUSP16",0.369071590180611,0.333616164316098,0.101,0.122,1
"PLD3",0.370702528742004,0.263278172811441,0.139,0.166,1
"STXBP3",0.37105877281056,0.280246697060325,0.096,0.116,1
"C1QB",0.373531793179845,0.344741993458529,0.246,0.243,1
"PTP4A2",0.373638287096293,0.517901611755169,0.242,0.243,1
"POR",0.374014988691158,0.296085031949469,0.106,0.128,1
"MSN",0.375649190275526,0.335074728382647,0.38,0.412,1
"MGST3",0.377991047583984,0.285577630423809,0.253,0.309,1
"PHAX",0.379258325778637,0.387275078119645,0.126,0.151,1
"CRBN",0.380697863648577,0.276577507179581,0.176,0.211,1
"BTF3L4",0.381361156104749,0.323172185372656,0.163,0.196,1
"DCUN1D5",0.384871523354532,0.273755867420498,0.093,0.113,1
"NEDD9",0.385694281027133,0.578179242805787,0.173,0.166,1
"SRP54",0.385742225883874,0.375068119930227,0.139,0.166,1
"THUMPD3-AS1",0.387375032495604,0.285051054930004,0.177,0.211,1
"VPS37B",0.388164457937971,0.484274502376231,0.318,0.332,1
"G3BP2",0.389183579774815,0.37969866386506,0.369,0.386,1
"TERF1",0.389724815095188,0.334146962836068,0.124,0.148,1
"GOLT1B",0.38980889037713,0.357853989028771,0.144,0.172,1
"THOC2",0.390129853088779,0.635320290567723,0.157,0.148,1
"GGA1",0.39594332382374,0.584487591843085,0.124,0.113,1
"COQ10B",0.399019213608588,0.262326702583487,0.241,0.291,1
"RSRC2",0.402172156744712,0.295300228585849,0.418,0.442,1
"MED31",0.40296036852549,0.332260416255522,0.112,0.134,1
"RBM22",0.404139330798406,0.328843390359402,0.135,0.16,1
"GPR108",0.404411376039654,0.303342910289766,0.14,0.166,1
"FAM192A",0.405214707992809,0.269095958997402,0.1,0.119,1
"SKIL",0.405296008229415,0.655016767506678,0.234,0.24,1
"USP47",0.406752512172517,0.653189505963766,0.142,0.134,1
"RALBP1",0.408849927991484,0.375906575402607,0.119,0.107,1
"CCPG1",0.411492412880045,0.558085069893266,0.112,0.101,1
"TGOLN2",0.412723987740578,0.284258366335754,0.156,0.184,1
"DBF4",0.41717009959286,0.350303241180656,0.11,0.131,1
"EVL",0.417585290521443,0.308186613197707,0.499,0.564,1
"APOA2",0.418103627134107,0.590615197911047,0.797,0.866,1
"G3BP1",0.420334126324495,0.366354319165324,0.209,0.252,1
"RNF115",0.421378930574692,0.481336865698436,0.178,0.172,1
"TIGIT",0.423612538441201,0.255967691963132,0.285,0.329,1
"PTPN22",0.423674140155497,0.266639732492895,0.192,0.226,1
"CCDC115",0.423781091394438,0.33165072463505,0.115,0.136,1
"TES",0.424229687159773,0.662426428322835,0.186,0.187,1
"HECA",0.4279318180562,0.471437353662979,0.116,0.104,1
"SPCS2",0.42830921027081,0.305702838633125,0.466,0.531,1
"NCL",0.431535849568355,0.295280192665007,0.53,0.611,1
"TRGC2",0.432842073636914,0.570288484466741,0.151,0.142,1
"CTSW",0.433944047969253,0.585374599783145,0.234,0.228,1
"C1orf56",0.434291044709127,0.296934207353346,0.244,0.288,1
"SGK1",0.436131004137896,0.303322362749962,0.113,0.131,1
"LITAF",0.4392020605207,0.414875713552564,0.456,0.516,1
"IRF3",0.439642313490909,0.462360507570266,0.152,0.142,1
"CHD2",0.443930650059128,0.371122069861758,0.184,0.22,1
"ABHD14B",0.444923171797977,0.453765182258975,0.168,0.16,1
"SMU1",0.447450779700354,0.410715004102183,0.105,0.125,1
"HPX",0.450165731121639,0.704486460574382,0.106,0.098,1
"DDX27",0.454368627564093,0.545158527955186,0.246,0.255,1
"UFM1",0.455752284955223,0.300187902039274,0.195,0.228,1
"ZNF622",0.456494122228658,0.269800147743947,0.159,0.187,1
"FAM53C",0.458117349053032,0.455223378446904,0.105,0.125,1
"MECP2",0.45938432635206,0.403976555319934,0.243,0.243,1
"TOX4",0.459554814478905,0.358831462755331,0.181,0.214,1
"STOM",0.461567831010514,0.275965494827582,0.202,0.237,1
"CNOT2",0.461677368023754,0.423424105658996,0.165,0.196,1
"CMC2",0.463769176555485,0.473678526649575,0.218,0.22,1
"CNBP",0.467257783264765,0.253321818610164,0.574,0.685,1
"ZC3HAV1",0.469005434654151,0.262728829212537,0.368,0.389,1
"ZDHHC12",0.469323712660606,0.251103189932567,0.116,0.134,1
"SMIM4",0.469585719144086,0.335452471639048,0.086,0.101,1
"HBS1L",0.473185387013546,0.294513874910719,0.105,0.122,1
"FGFR1OP2",0.473572845570735,0.384689381265722,0.338,0.365,1
"ARHGEF3",0.475641676151815,0.591454990350611,0.106,0.098,1
"MEAF6",0.479244799936555,0.279143798617214,0.278,0.332,1
"HEXA",0.479909883411473,0.587985814952183,0.135,0.128,1
"CD59",0.481967863364903,0.483725616690973,0.276,0.285,1
"CNOT7",0.483408501465461,0.29292672236388,0.152,0.178,1
"SELPLG",0.483927889722793,0.479669388565677,0.147,0.139,1
"PPM1B",0.484690839400637,0.339839513506356,0.151,0.142,1
"LCMT1",0.486722889781222,0.297683646903005,0.091,0.107,1
"MARCH7",0.487996782236589,0.445032681512595,0.133,0.125,1
"TMA16",0.492880184181759,0.291052533707334,0.092,0.107,1
"PIM2",0.494265500201174,0.300590994709177,0.238,0.234,1
"DUSP11",0.498491380574963,0.630230733715804,0.171,0.172,1
"CAT",0.501416167700486,0.436754703704541,0.161,0.154,1
"PRPF38B",0.50271881586582,0.310932225579936,0.371,0.395,1
"GLUD1",0.504861516787412,0.328855438310579,0.171,0.199,1
"FAS",0.509807858180224,0.655701468225922,0.188,0.19,1
"MPZL3",0.51808305125041,0.617907072595941,0.122,0.116,1
"CWF19L2",0.522161883247741,0.532045249334007,0.145,0.139,1
"GLRX",0.522894029434831,0.360228361101165,0.288,0.294,1
"RAD23A",0.523571749539843,0.291134141498992,0.255,0.3,1
"HERPUD2",0.523627425739338,0.357018883136131,0.188,0.184,1
"POLR2B",0.525643497035784,0.296117764586468,0.111,0.128,1
"TMEM219",0.529310483170415,0.278789618899816,0.229,0.27,1
"TBC1D15",0.530323211191162,0.315654301066518,0.106,0.122,1
"RBP4",0.531579957198232,0.332508913752618,0.398,0.442,1
"HNRNPR",0.532578322273113,0.266634700351167,0.251,0.294,1
"RP11-796E2.4",0.533759035362817,0.42317746634195,0.092,0.107,1
"IP6K2",0.535185959270988,0.465660813336991,0.137,0.16,1
"ORAI1",0.53613066334108,0.296180091082906,0.17,0.166,1
"CCDC186",0.536142497439028,0.347961486567774,0.131,0.125,1
"CHST11",0.540225619073981,0.302560836496629,0.158,0.151,1
"HNRNPH2",0.542160707806906,0.312247006419717,0.2,0.234,1
"PDCD10",0.542508660822806,0.378986909426915,0.228,0.273,1
"AP3S1",0.549447955979538,0.529140797700332,0.276,0.297,1
"PHIP",0.549490800561751,0.415292640137023,0.169,0.196,1
"PHACTR2",0.550658518683842,0.590300678153368,0.11,0.104,1
"PRPF18",0.55326137700417,0.267413786245281,0.122,0.139,1
"PNRC1",0.555103310406003,0.320988875430532,0.607,0.757,1
"PHF3",0.55634703252795,0.389837564836677,0.114,0.107,1
"FBXO7",0.556470351815776,0.258182681041415,0.176,0.202,1
"DNAJB9",0.558917345063695,0.329910889551417,0.343,0.368,1
"CDC73",0.563148450777131,0.489352084008322,0.113,0.107,1
"FUBP1",0.565162252309164,0.541053857206036,0.153,0.151,1
"RAP1A",0.566232670050727,0.329671322074729,0.422,0.475,1
"PCF11",0.566457434889359,0.426174556428551,0.119,0.113,1
"RNF113A",0.566580854318564,0.282373811105804,0.101,0.116,1
"DIAPH1",0.568926894175296,0.398016809389442,0.144,0.139,1
"ERP44",0.570609054739446,0.506006305174771,0.221,0.228,1
"DNAJC3",0.572107528070995,0.267802192744588,0.177,0.199,1
"WAPL",0.575162910902944,0.25173851355712,0.102,0.116,1
"ABI1",0.579578626342383,0.297947020272824,0.172,0.196,1
"LYZ",0.586857239405354,0.580230718983113,0.23,0.231,1
"ZNF655",0.588702170052326,0.267391059643237,0.132,0.151,1
"CCDC28A",0.590312618893872,0.351760675942779,0.119,0.113,1
"LINC01116",0.591247283824294,0.305127440446252,0.118,0.134,1
"NEMF",0.594193247485684,0.555141618536608,0.128,0.125,1
"LINC00657",0.59484086646294,0.372500552037831,0.113,0.107,1
"GNG2",0.595928154476291,0.34711880438065,0.341,0.374,1
"SYPL1",0.597768112685335,0.284821862861559,0.169,0.193,1
"PSMA6",0.598388072748643,0.526463665255983,0.133,0.131,1
"RAB1A",0.602035558141237,0.312316775860159,0.275,0.323,1
"EPS15",0.602379782913187,0.328182973887754,0.102,0.095,1
"GYG1",0.60254724833957,0.41392537021717,0.177,0.205,1
"DNAJA2",0.603155172713728,0.294443972455419,0.208,0.24,1
"MRPL1",0.604123574745021,0.444766256646139,0.204,0.237,1
"GLUL",0.609383621701365,0.559348243231984,0.362,0.401,1
"APOA1",0.611327517749273,0.273502400850634,0.561,0.519,1
"RBL2",0.611536809643489,0.48396530309499,0.134,0.131,1
"ARHGAP9",0.612535361978278,0.472951682277315,0.184,0.187,1
"ZEB2",0.616014982342362,0.460805163506261,0.155,0.151,1
"ELL2",0.621194721264177,0.449424374091143,0.157,0.154,1
"VPS26A",0.621686890939968,0.611286016131272,0.172,0.175,1
"TMEM109",0.622138007980595,0.252401979428774,0.12,0.134,1
"STARD3",0.622174913633416,0.257238411007917,0.095,0.107,1
"DPF2",0.626028240957933,0.331118622433363,0.089,0.101,1
"BRIX1",0.627144576695814,0.45813719814945,0.117,0.134,1
"DARS",0.628645849152312,0.369558492695077,0.193,0.193,1
"SZRD1",0.633217156057872,0.395772661129147,0.135,0.154,1
"SRSF10",0.63327277616945,0.495138341622334,0.234,0.246,1
"MSI2",0.634914753699294,0.259650559508502,0.126,0.139,1
"CITED2",0.640222582266384,0.394026246474364,0.325,0.35,1
"PYHIN1",0.64037569342291,0.49977020911186,0.171,0.196,1
"CD3G",0.641710017807741,0.280486122261392,0.421,0.463,1
"OSER1",0.641990405118888,0.348687366841129,0.164,0.187,1
"GNL3",0.642836113617447,0.403908536056025,0.217,0.249,1
"SNHG8",0.644236466458792,0.345756875577549,0.362,0.401,1
"PTPN4",0.649640890384062,0.652111171908348,0.14,0.142,1
"STX8",0.649768051371693,0.523479686147808,0.153,0.154,1
"CCNDBP1",0.650967165078819,0.446479359261827,0.274,0.294,1
"AKAP9",0.65226399390839,0.396814412134158,0.272,0.288,1
"PLGRKT",0.652724053067179,0.349646100462932,0.108,0.122,1
"ACADM",0.652811578344599,0.381063248500237,0.09,0.101,1
"IGHA1",0.654323513526288,0.877903025673969,0.122,0.119,1
"MYCBP2",0.655281142753411,0.298205688033355,0.169,0.166,1
"ARRB2",0.657390629216153,0.480528655828116,0.157,0.157,1
"DDX6",0.657651890703481,0.468925062450355,0.296,0.326,1
"PSMD9",0.660828520270754,0.478743303065953,0.168,0.169,1
"RPF1",0.663517529062741,0.325732609879431,0.168,0.19,1
"ITGA4",0.664067486696836,0.364557375014471,0.164,0.163,1
"FAM129A",0.664089328940516,0.379594767994951,0.185,0.187,1
"ATXN1",0.671854654364636,0.327598957622978,0.104,0.116,1
"KIF2A",0.672418116457522,0.405817688388587,0.114,0.128,1
"ACTR1B",0.674264533606491,0.280191107482268,0.091,0.101,1
"SSSCA1",0.675482817196027,0.555872328203625,0.135,0.134,1
"SNX17",0.677812962440934,0.325034040515738,0.188,0.211,1
"NECAP2",0.678036454139222,0.329267769228141,0.188,0.214,1
"SDF2",0.679802243155987,0.343941044198677,0.163,0.184,1
"SAMD3",0.681974204717985,0.540719150667828,0.125,0.125,1
"PTPRA",0.688050880953807,0.397350095219981,0.106,0.119,1
"GYPC",0.690779182689856,0.301040142211691,0.414,0.469,1
"FCMR",0.692330957324257,0.393963691891187,0.115,0.113,1
"CARD8",0.696223658150716,0.346863017602826,0.131,0.128,1
"C10orf54",0.696425806583891,0.371082432169339,0.255,0.27,1
"WBP11",0.698578301856556,0.352022220939743,0.189,0.214,1
"DEGS1",0.702710308431786,0.36727488851406,0.149,0.166,1
"B4GALT1",0.707918167433374,0.47723297772263,0.231,0.264,1
"FOXN3",0.709675597525768,0.292629932929945,0.157,0.157,1
"EIF4H",0.710189869869576,0.451323522213603,0.238,0.255,1
"RABIF",0.713361269926478,0.454350898000556,0.146,0.163,1
"MED29",0.714292600755797,0.382992809125703,0.115,0.128,1
"CTLA4",0.714729563601025,0.411772623791345,0.207,0.231,1
"TAF12",0.715224570232624,0.404958919129196,0.12,0.134,1
"EPSTI1",0.721602634435748,0.450825294438459,0.2,0.226,1
"ARHGEF1",0.722065527928602,0.297539122191981,0.263,0.279,1
"WAC",0.723707939866637,0.388916433864007,0.175,0.178,1
"ATF6B",0.723756903369103,0.561659668191419,0.154,0.157,1
"PPP1R12A",0.725236009059198,0.404458927536211,0.231,0.243,1
"ARFGAP2",0.726550076146776,0.356665071210054,0.135,0.134,1
"TMEM126B",0.733318339833523,0.318108425891112,0.134,0.148,1
"GORASP2",0.734522925471115,0.346860955860181,0.107,0.104,1
"DDB2",0.736426558730637,0.261686866204716,0.097,0.107,1
"SBDS",0.740556340406047,0.346135419190964,0.378,0.43,1
"SEC22B",0.740583838059074,0.327257169739019,0.105,0.116,1
"FAM102A",0.741760899910529,0.465954067937999,0.1,0.098,1
"SF3B2",0.743976466514246,0.254939448048569,0.331,0.356,1
"TARS",0.746052750600738,0.30167272891796,0.106,0.116,1
"CCNL2",0.750332107921942,0.553262401681539,0.102,0.101,1
"RHOT2",0.751143829739572,0.351513498573129,0.116,0.128,1
"PHF1",0.752593707135133,0.267884210833972,0.124,0.136,1
"CYSTM1",0.753269710394393,0.286456894480544,0.177,0.196,1
"SERINC3",0.753364092241108,0.363142640014944,0.187,0.211,1
"USE1",0.754191179716749,0.403539013677796,0.111,0.122,1
"U2SURP",0.755838166241563,0.512322395765313,0.162,0.166,1
"SARS",0.760037811106305,0.258653231509169,0.185,0.205,1
"MOB2",0.76244341356832,0.383031077875962,0.092,0.101,1
"MFSD14A",0.766021006300392,0.304049807963699,0.166,0.184,1
"MAPK1IP1L",0.766148954838596,0.436148720702052,0.271,0.3,1
"ASNSD1",0.766564139740815,0.449044582649568,0.135,0.136,1
"ERLEC1",0.768376936998341,0.358570104645812,0.136,0.148,1
"NUB1",0.771156083027654,0.342112352430405,0.135,0.148,1
"RSL24D1",0.772254026663684,0.266065215690452,0.5,0.605,1
"LINC00869",0.772445480319391,0.385730953078325,0.133,0.134,1
"CCDC90B",0.775024514074976,0.523403627357452,0.121,0.122,1
"DDX18",0.775173377525293,0.305721209956316,0.29,0.335,1
"DYNLT3",0.775702056394136,0.348851601877694,0.184,0.205,1
"FNBP4",0.778655273790684,0.3354922699614,0.153,0.169,1
"CES1",0.782419366616075,0.684115879490678,0.173,0.193,1
"RBBP4",0.78244867990174,0.412888333048658,0.192,0.199,1
"CASP4",0.78450132994656,0.378440106268251,0.338,0.377,1
"DHPS",0.785307125660723,0.457586595475621,0.135,0.136,1
"USP3",0.785990974963752,0.57537598674046,0.12,0.122,1
"NDEL1",0.786946650378392,0.57075207920279,0.106,0.107,1
"RABGAP1L",0.790787748279943,0.372900606076659,0.174,0.193,1
"RBM5",0.793789738155273,0.397380332019563,0.159,0.163,1
"LYST",0.796115761914325,0.379069763050161,0.19,0.211,1
"KLHL24",0.799918686100147,0.457447161302656,0.111,0.122,1
"ATF4",0.801783176240397,0.330521625371186,0.28,0.303,1
"PRPF4B",0.80279922141947,0.272053223102155,0.172,0.187,1
"PCMTD1",0.803583612982801,0.378491804331402,0.102,0.101,1
"CENPC",0.808500028395844,0.490264708368616,0.117,0.128,1
"NRBF2",0.80854062302285,0.442527608352582,0.147,0.151,1
"AIP",0.809702010378722,0.434962134327689,0.203,0.214,1
"PPIL4",0.810791340863245,0.446377046063475,0.143,0.157,1
"AK6",0.811380588385918,0.34234018995466,0.094,0.101,1
"CTSC",0.813201691809962,0.354501938765921,0.47,0.561,1
"GPATCH8",0.813631711622037,0.386366671731844,0.15,0.154,1
"TMEM11",0.815399931973852,0.634423931043419,0.111,0.113,1
"MARCH6",0.817744392097674,0.363986359988859,0.149,0.163,1
"MFNG",0.81899069465215,0.269535754095486,0.121,0.131,1
"SAMHD1",0.822412396283634,0.502174613627824,0.134,0.148,1
"EED",0.82368195060112,0.570003944718416,0.106,0.107,1
"SPSB3",0.8252790109937,0.308735279229634,0.172,0.19,1
"MED30",0.826001429620003,0.363871231413032,0.161,0.166,1
