major_celltype,p_value,mean_primary,mean_metastatic
T/NK,0.46853146853146854,0.17459765428314356,0.09873061431418767
Hepatocyte,0.6923076923076923,0.39247242654892844,0.48208763801054244
Myeloid,0.6923076923076923,0.2728568647661933,0.32231706345402955
Fibroblast,0.8111888111888111,0.041327867312565145,0.02810925174209793
Endothelial,0.8636363636363636,0.060664043155242944,0.011754917936245935
B,0.9370629370629371,0.06414754824945088,0.05700051454289649
