"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADSSL1",0.00248979581969098,0.749067847934905,0.205,0.196,1
"UBE2L6",0.00277878265670346,0.408769630386034,0.532,0.587,1
"KHDRBS3",0.00279826555648259,0.342541321930647,0.156,0.185,1
"SARS2",0.00283727314920695,0.433109228036822,0.163,0.147,1
"PPP4R3B",0.00285117906787262,0.467520053496221,0.385,0.392,1
"L3HYPDH",0.00296517425546072,0.381866893835821,0.111,0.135,1
"RBM19",0.00312101926715861,0.578859043446862,0.145,0.128,1
"FNDC3A",0.00321849046431344,0.694838637768689,0.219,0.21,1
"SNHG8",0.0033335603291085,0.486088927010962,0.652,0.723,1
"LSP1",0.0033475850152057,0.770957827110529,0.2,0.184,1
"PIK3IP1",0.00346150390808651,0.964180647722218,0.145,0.131,1
"AHSA2",0.00348628429478085,0.684748908352524,0.162,0.148,1
"SNX4",0.00389418050167322,0.333653005909651,0.482,0.493,1
"RAB40B",0.00391905018241061,0.544365337966238,0.318,0.331,1
"USP33",0.00393586863157961,0.481700062806855,0.263,0.253,1
"SYVN1",0.00395461493401901,0.48386296561259,0.245,0.234,1
"TMEM141",0.00398384312401787,0.384240869740261,0.714,0.769,1
"ARHGEF35",0.00400000721444323,0.624721709788993,0.273,0.273,1
"RTCA",0.00406083361086659,0.387398317588852,0.414,0.434,1
"NR3C1",0.00412319970357114,0.441878741977072,0.356,0.357,1
"ZFR",0.00413435773824815,0.437658631731467,0.393,0.403,1
"MORC3",0.00414626988992482,0.788545585245816,0.155,0.143,1
"FBXO8",0.0041689110391609,0.495587268146173,0.21,0.195,1
"CHM",0.00433941638033897,0.602189168310897,0.135,0.119,1
"IFIT1",0.0043771644945048,0.657235204155845,0.141,0.126,1
"CDKN3",0.00443951501521547,0.593449557767687,0.349,0.411,1
"ELMOD3",0.00472186404489602,0.661338236758589,0.151,0.135,1
"ATAD3B",0.00477668681518856,0.493021544124907,0.131,0.116,1
"DCAF11",0.00486512092038206,0.396394091540053,0.401,0.413,1
"DDI2",0.00497910931981993,0.523258001532261,0.234,0.224,1
"USP15",0.00522582036554886,0.500034046479162,0.308,0.306,1
"TMEM64",0.0055051582024231,0.569472118186497,0.252,0.248,1
"PHF6",0.00555208294412624,0.257100926099257,0.183,0.214,1
"RPGR",0.00572206762690372,0.349053186130039,0.147,0.173,1
"RP11-443B7.1",0.00572659462138695,0.305728870667703,0.114,0.135,1
"FAM120A",0.00577787398835106,0.411876824908208,0.395,0.405,1
"NSUN2",0.00579062171801633,0.398225864538187,0.277,0.271,1
"FANCL",0.00586302691774532,0.527577100112897,0.214,0.203,1
"MT-ATP8",0.00590252130794946,0.658351505338756,0.26,0.253,1
"SP110",0.00603846165195044,0.409522739147967,0.113,0.097,1
"PANX1",0.00606660298765182,0.29365079149677,0.111,0.096,1
"ZNF770",0.0062089289825932,0.38932945888456,0.306,0.302,1
"PQLC3",0.00626112303997613,0.571642486449175,0.225,0.218,1
"CXADR",0.00636170019225177,0.267118622152234,0.59,0.613,1
"OGG1",0.00636573295663684,0.404832627466387,0.32,0.325,1
"SPAST",0.00645207257308457,0.315293781009197,0.111,0.132,1
"FASTK",0.00650477070534061,0.306485803951183,0.57,0.608,1
"UBR4",0.00684704372255399,0.888356989755289,0.261,0.257,1
"NBN",0.0068620628037463,0.414322811486617,0.347,0.354,1
"FUNDC2",0.00703269477707514,0.574956480643828,0.609,0.699,1
"CD99L2",0.00734800233659122,0.613901053457427,0.132,0.118,1
"MLH3",0.00739211479402312,0.590453821997027,0.172,0.161,1
"GOLGB1",0.00747229927964069,0.44541655701309,0.397,0.413,1
